"lat","long","year","pop1","citystate","rape_per100k"
42.05,-87.69,2006,75640,"Evanston IL",0
42.05,-87.69,2002,75323,"Evanston IL",0
42.05,-87.69,2003,73729,"Evanston IL",0
42.05,-87.69,1993,74724,"Evanston IL",0
42.05,-87.69,1987,71779,"Evanston IL",0
42.05,-87.69,2008,76129,"Evanston IL",0
42.05,-87.69,1992,74515,"Evanston IL",0
42.05,-87.69,1989,70162,"Evanston IL",0
42.05,-87.69,2001,74616,"Evanston IL",0
42.05,-87.69,1996,74026,"Evanston IL",0
42.05,-87.69,2005,75104,"Evanston IL",0
42.05,-87.69,1995,73920,"Evanston IL",0
42.05,-87.69,2009,78101,"Evanston IL",0
42.05,-87.69,2004,74713,"Evanston IL",0
42.05,-87.69,2007,75746,"Evanston IL",0
47.96,-122.2,1995,77948,"Everett WA",0
47.96,-122.2,1996,79411,"Everett WA",0
